index	return	risk	AAPL	SPY	TSLA	YETI	MSFT	NVDA
0	0.010999	0.028542	0.126605	1.151507	-0.081720	-0.080394	0.084251	-0.200250
1	0.011594	0.028553	0.125674	1.155191	-0.078113	-0.083456	0.071558	-0.190854
2	0.012189	0.028587	0.124743	1.158874	-0.074506	-0.086517	0.058863	-0.181458
3	0.012784	0.028643	0.123813	1.162558	-0.070899	-0.089579	0.046169	-0.172062
4	0.013379	0.028721	0.122882	1.166241	-0.067292	-0.092641	0.033474	-0.162665
5	0.013974	0.028822	0.121951	1.169925	-0.063685	-0.095703	0.020780	-0.153269
6	0.014569	0.028945	0.121021	1.173608	-0.060078	-0.098764	0.008086	-0.143873
7	0.015164	0.029089	0.120090	1.177292	-0.056471	-0.101826	-0.004609	-0.134476
8	0.015759	0.029254	0.119159	1.180975	-0.052863	-0.104888	-0.017303	-0.125080
9	0.016354	0.029441	0.118229	1.184659	-0.049256	-0.107950	-0.029998	-0.115684
10	0.016949	0.029648	0.117298	1.188342	-0.045649	-0.111011	-0.042692	-0.106288
11	0.017544	0.029875	0.116367	1.192026	-0.042042	-0.114073	-0.055387	-0.096891
12	0.018139	0.030122	0.115437	1.195710	-0.038435	-0.117135	-0.068081	-0.087495
13	0.018734	0.030388	0.114506	1.199393	-0.034828	-0.120197	-0.080775	-0.078099
14	0.019329	0.030673	0.113575	1.203077	-0.031221	-0.123258	-0.093470	-0.068702
15	0.019924	0.030975	0.112644	1.206760	-0.027614	-0.126320	-0.106164	-0.059306
16	0.020519	0.031296	0.111714	1.210444	-0.024007	-0.129382	-0.118859	-0.049910
17	0.021114	0.031633	0.110783	1.214127	-0.020400	-0.132443	-0.131553	-0.040514
18	0.021709	0.031988	0.109852	1.217811	-0.016793	-0.135505	-0.144248	-0.031117
19	0.022304	0.032358	0.108922	1.221494	-0.013186	-0.138567	-0.156942	-0.021721
20	0.022899	0.032744	0.107991	1.225178	-0.009579	-0.141629	-0.169636	-0.012325
21	0.023494	0.033144	0.107060	1.228861	-0.005972	-0.144690	-0.182331	-0.002928
22	0.024089	0.033559	0.106130	1.232545	-0.002365	-0.147752	-0.195025	0.006468
23	0.024684	0.033988	0.105199	1.236229	0.001242	-0.150814	-0.207720	0.015864
24	0.025279	0.034430	0.104268	1.239912	0.004849	-0.153876	-0.220414	0.025260
25	0.025874	0.034885	0.103338	1.243596	0.008456	-0.156937	-0.233109	0.034657
26	0.026469	0.035353	0.102407	1.247279	0.012063	-0.159999	-0.245803	0.044053
27	0.027064	0.035832	0.101476	1.250963	0.015670	-0.163061	-0.258497	0.053449
28	0.027659	0.036323	0.100545	1.254646	0.019277	-0.166123	-0.271192	0.062846
29	0.028254	0.036825	0.099615	1.258330	0.022884	-0.169184	-0.283886	0.072242
30	0.028849	0.037337	0.098684	1.262013	0.026491	-0.172246	-0.296581	0.081638
31	0.029444	0.037859	0.097753	1.265697	0.030098	-0.175308	-0.309275	0.091034
32	0.030039	0.038391	0.096823	1.269381	0.033705	-0.178370	-0.321969	0.100431
33	0.030634	0.038932	0.095892	1.273064	0.037312	-0.181431	-0.334664	0.109827
34	0.031229	0.039482	0.094961	1.276748	0.040919	-0.184493	-0.347358	0.119223
35	0.031825	0.040041	0.094031	1.280431	0.044526	-0.187555	-0.360053	0.128620
36	0.032420	0.040608	0.093100	1.284115	0.048133	-0.190617	-0.372747	0.138016
37	0.033015	0.041182	0.092169	1.287798	0.051740	-0.193678	-0.385442	0.147412
38	0.033610	0.041764	0.091238	1.291482	0.055348	-0.196740	-0.398136	0.156808
39	0.034205	0.042354	0.090308	1.295165	0.058955	-0.199802	-0.410830	0.166205
40	0.034800	0.042950	0.089377	1.298849	0.062562	-0.202864	-0.423525	0.175601
