date	AAPL	SPY	TSLA	YETI	MSFT	NVDA
2023-11-30	0.113780	0.091344	0.195379	0.002822	0.122945	0.146886
2023-12-31	0.013583	0.045655	0.034988	0.214353	-0.007574	0.058934
2024-01-31	-0.042227	0.015926	-0.246257	-0.150830	0.057281	0.242417
2024-02-29	-0.018543	0.052187	0.077901	-0.066636	0.042318	0.285809
2024-03-31	-0.051286	0.032702	-0.129235	-0.060673	0.017116	0.142181
2024-04-30	-0.006706	-0.040320	0.042608	-0.073411	-0.074610	-0.043760
2024-05-31	0.130222	0.050580	-0.028372	0.140538	0.068191	0.268871
2024-06-30	0.095553	0.035280	0.111186	-0.063574	0.076651	0.126943
2024-07-31	0.054411	0.012109	0.172781	0.083879	-0.063989	-0.052777
2024-08-31	0.032353	0.023366	-0.077390	-0.024909	-0.001095	0.020082
2024-09-30	0.017467	0.021005	0.221942	0.017609	0.031548	0.017428
2024-10-31	-0.030429	-0.008924	-0.045025	-0.141847	-0.055659	0.093215
2024-11-30	0.051707	0.059633	0.381469	0.146549	0.044192	0.041353
2024-12-31	0.055155	-0.024060	0.170008	-0.046074	-0.004629	-0.028577
2025-01-31	-0.057583	0.026856	0.001882	-0.032459	-0.015279	-0.105890
2025-02-28	0.025872	-0.012695	-0.275877	-0.043478	-0.041618	0.040393
2025-03-31	-0.081500	-0.055719	-0.115435	-0.071268	-0.054409	-0.132325
2025-04-30	-0.043353	-0.008670	0.088748	-0.137462	0.052932	0.004982
2025-05-31	-0.053584	0.062845	0.227885	0.070403	0.166840	0.240635
2025-06-30	0.021509	0.051386	-0.083126	0.031414	0.080481	0.169252
2025-07-31	0.011698	0.023032	-0.029560	0.165609	0.072556	0.125831
2025-08-31	0.119639	0.020520	0.083044	-0.043005	-0.048692	-0.020746
2025-09-30	0.025674	0.003612	0.005571	0.033845	0.001954	-0.019615
